,SECID,SECNAME,FACEVALUE,COUPONPERCENT
0,KG000A3LSC78,Республика Кыргызстан 01,100.0,15.5
1,KG000A3LSJ06,Республика Кыргызстан 02,100.0,14.5
2,RU000A0JQ7Z2,"""Российские ЖД"" ОАО 19 обл.",1000.0,7.85
3,RU000A0JQAM6,ДОМ.РФ (АО) обл. сер. А15,1000.0,14.5
4,RU000A0JQRD9,"""Российские ЖД"" ОАО 23 обл.",1000.0,7.85
5,RU000A0JR4U9,Главная дорога АО об.сер. 03,625.0,4.0
6,RU000A0JRJB8,Запад.скор.диаметр АО об.01,1000.0,10.44
7,RU000A0JRJL7,Запад.скор.диаметр АО об.02,1000.0,10.44
8,RU000A0JRU20,Северо-Зап.концес.комп. сер.03,740.0,8.15
9,RU000A0JRU46,Северо-Зап.концес.комп. сер.04,740.0,8.15
10,RU000A0JRZ74,ПАО ОТКРЫТИЕ ФК Банк БО-03,1000.0,0.01
11,RU000A0JS4J1,Запад.скор.диаметр АО об.03,1000.0,9.84
12,RU000A0JS4K9,Запад.скор.диаметр АО об.04,1000.0,9.84
13,RU000A0JS4L7,Запад.скор.диаметр АО об.05,1000.0,9.84
14,RU000A0JS4Z7,ВЭБ.РФ об. сер. 21,1000.0,9.28
15,RU000A0JS934,Евразийский банк развития 11,1000.0,9.5
16,RU000A0JSGV0,"""Российские ЖД"" ОАО 32 обл.",1000.0,9.8
17,RU000A0JSQ58,ФСК Россети(ПАО)-обл. сер.22,1000.0,9.15
18,RU000A0JT403,ВЭБ.РФ об. сер. 18,1000.0,7.67
19,RU000A0JT593,Волга-Спорт АО обл. 02,329.0,9.0
20,RU000A0JT6B2,ВЭБ.РФ об. сер. 19,1000.0,7.48
21,RU000A0JT7T2,ФСК Россети(ПАО)-обл. сер.21,1000.0,7.4
22,RU000A0JTB96,Главная дорога АО об.сер. 07,750.0,4.0
23,RU000A0JTFB2,Главная дорога АО об.сер. 06,625.0,4.0
24,RU000A0JTU85,"""Российские ЖД"" ОАО 28 обл.",1000.0,6.8
25,RU000A0JTW83,ДОМ.РФ (АО) обл. сер.А25,800.0,16.1
26,RU000A0JTYJ6,ФСК Россети (ПАО)-обл. сер.23,1000.0,7.69
27,RU000A0JTYK4,ФСК Россети(ПАО)-обл. сер.28,1000.0,7.69
28,RU000A0JTZF1,ДОМ.РФ (АО) обл. сер.А26,1000.0,14.0
29,RU000A0JU0N7,ПАО ОТКРЫТИЕ ФК Банк БО-02,1000.0,0.01
30,RU000A0JU2K9,ФСК Россети(ПАО)-обл. сер.26,1000.0,8.42
31,RU000A0JU2L7,ФСК Россети(ПАО)-обл. сер.27,1000.0,8.42
32,RU000A0JU7S1,ФСК Россети (ПАО)-обл. сер.29,1000.0,8.48
33,RU000A0JUAH8,"""Российские ЖД"" ОАО 30 обл.",1000.0,6.75
34,RU000A0JUAN6,"""Газпром"" ПАО БО-19",1000.0,7.0
35,RU000A0JUAP1,"""Газпром"" ПАО БО-20",1000.0,7.0
36,RU000A0JUC92,ФСК Россети(ПАО)-обл. сер.30,1000.0,7.69
37,RU000A0JUCA9,ФСК Россети(ПАО)-обл. сер.34,1000.0,7.69
38,RU000A0JUG56,Международный инвест. банк 01,1000.0,0.01
39,RU000A0JUG72,Международный инвест. банк 02,1000.0,0.01
40,RU000A0JUG98,Международный инвест. банк 04,1000.0,0.01
41,RU000A0JUJG1,РОСБАНК ПАО обл.14-ИП,50.0,12.0
42,RU000A0JUKX4,ДОМ.РФ (АО) обл. сер. А30,1000.0,10.51
43,RU000A0JUL67,РОСБАНК ПАО обл.БСО-12,1000.0,0.04
44,RU000A0JUL91,РОСБАНК ПАО обл.БСО-13,1000.0,0.03
45,RU000A0JULA0,РОСБАНК ПАО обл.БСО-14,1000.0,0.02
46,RU000A0JULC6,РОСБАНК ПАО обл.БСО-15,1000.0,0.01
47,RU000A0JUMH3,ГПБ (АО) БО-08,1000.0,6.65
48,RU000A0JUML5,"ПАО ""АНК ""Башнефть"" БО-05",1000.0,15.1
49,RU000A0JUPW5,"""Банк Зенит"" (ПАО) БО-13",1000.0,0.1
50,RU000A0JUQ39,ГПБ (АО) БО-09,1000.0,5.65
51,RU000A0JUQ96,ТрансФин-М ПАО БО-29,1000.0,8.5
52,RU000A0JUQC5, Ашинский метзавод ПАО БО-01,1000.0,16.5
53,RU000A0JUR04,ТрансФин-М ПАО БО-30,1000.0,8.5
54,RU000A0JUT85,"АКБ ПАО ""ПЕРЕСВЕТ"" БО-02",1000.0,0.51
55,RU000A0JUU90,Альфа-Банк АО обл. БО-13,1000.0,8.9
56,RU000A0JUV08,ГПБ (АО) БО-10,1000.0,8.15
57,RU000A0JUV81,РОСБАНК ПАО обл.13-ИП,1000.0,6.9
58,RU000A0JUW23,РОСБАНК ПАО обл.15-ИП,187.5,11.92
59,RU000A0JUW31,"""Россельхозбанк"" (АО) БО-13",1000.0,11.0
60,RU000A0JUW72,"""Россельхозбанк"" (АО) БО-14",1000.0,11.0
61,RU000A0JUZZ7,ТрансФин-М ПАО БО-37,1000.0,9.5
62,RU000A0JV0U1,Альфа-Банк АО обл. БО-15,1000.0,8.85
63,RU000A0JV1W5,ПАО НК Роснефть БО-02,1000.0,9.4
64,RU000A0JV1X3,ПАО НК Роснефть БО-03,1000.0,9.4
65,RU000A0JV1Y1,ПАО НК Роснефть БО-04,1000.0,9.4
66,RU000A0JV201,ПАО НК Роснефть БО-08,1000.0,9.4
67,RU000A0JV219,ПАО НК Роснефть БО-09,1000.0,9.4
68,RU000A0JV227,ПАО НК Роснефть БО-14,1000.0,9.4
69,RU000A0JV235,ПАО НК Роснефть БО-10,1000.0,9.4
