,SECID,SECNAME
0,ABIO,"ПАО ""Артген"""
1,ABRD,Абрау-Дюрсо ПАО ао
2,ACKO,АСКО ПАО ао
3,AFKS,"АФК ""Система"" ПАО ао"
4,AFLT,Аэрофлот-росс.авиалин(ПАО)ао
5,AGRO,ГДР ROS AGRO PLC ORD SHS
6,AKRN,Акрон ПАО ао
7,ALRS,АЛРОСА ПАО ао
8,AMEZ,Ашинский метзавод ПАО ао
9,APTK,"ПАО ""Аптечная сеть 36,6"" ао"
10,AQUA,ПАО ИНАРКТИКА
11,ARSA,УК Арсагера ПАО-ао
12,ASSB,"""Астраханская ЭСК"" ПАО"
13,ASTR,Группа Астра ао
14,AVAN,"АКБ ""АВАНГАРД"" ПАО ао"
15,BANE,Башнефть АНК ао
16,BANEP,Башнефть АНК ап
17,BELU,НоваБев Групп ПАО ао
18,BISVP,Башинформсвязь(ПАО) ап
19,BLNG,Белон ОАО ао
20,BRZL,Бурятзолото ПАО ао
21,BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао"
22,BSPBP,Банк Санкт-Петербург ап
23,CARM,СТГ ао
24,CBOM,"""МКБ"" ПАО ао"
25,CHGZ,РН-Западная Сибирь ПАО ао
26,CHKZ,"""ЧКПЗ"" ПАО ао"
27,CHMF,Северсталь (ПАО)ао
28,CHMK,"""ЧМК"" ПАО ао"
29,CIAN,АДР Cian PLC ORD SHS
30,CNTL,"""Центральный Телеграф"" ПАО ао"
31,CNTLP,"""Центральный Телеграф"" ПАО ап"
32,DELI,Каршеринг Руссия ао
33,DIOD,Завод ДИОД ПАО ао
34,DSKY,ПАО Детский мир
35,DVEC,"""ДЭК"" ПАО ао"
36,DZRD,Донской завод радиодеталей ао
37,DZRDP,Донской завод радиодеталей ап
38,EELT,"""ЕвропЭлектротехника"" ПАО ао"
39,ELFV,"""ЭЛ5-Энерго"" ПАО"
40,ENPG,МКПАО ЭН+ ГРУП ао
41,ETLN,ГДР ETALON GROUP PLC ORD SHS
42,EUTR,ЕвроТранс ао
43,FEES,"""ФСК - Россети"" ПАО"
44,FESH,ДВ морское пароходство ПАО ао
45,FIVE,ГДР X5 RetailGroup N.V.ORD SHS
46,FIXP,ГДР FixPrice Group PLC ORD SHS
47,FLOT,Совкомфлот ао
48,GAZA,ГАЗ ПАО ао
49,GAZAP,ГАЗ ПАО ап
50,GAZC,ГАЗКОН (ПАО) ао
51,GAZP,"""Газпром"" (ПАО) ао"
52,GAZS,ГАЗ-сервис (ПАО) ао
53,GAZT,ГАЗ-Тек ПАО ао
54,GCHE,Группа Черкизово ПАО-ао
55,GECO,ЦГРМ ГЕНЕТИКО ао
56,GEMA,ПАО ММЦБ ао
57,GEMC,Юнайтед Медикал Груп ПАО
58,GLTR,ГДР Globaltrans Invest ORD SHS
59,GMKN,"ГМК ""Нор.Никель"" ПАО ао"
60,GTRK,"ПАО ""ГТМ"" ао"
61,HHRU,АДР HeadHunter Group ORD SHS
62,HIMCP,Химпром ПАО ап
63,HNFG,ХЭНДЕРСОН ао
64,HYDR,"ПАО ""РусГидро"""
65,IGST,Ижсталь ПАО ао 2в.
66,IGSTP,Ижсталь ПАО ап
67,INGR,ИНГРАД ПАО ао
68,IRAO,"""Интер РАО"" ПАО ао"
69,IRKT,"""Яковлев"" ПАО ак.об.-3"
70,JNOS,Славнефть-ЯНОС (ПАО) ао
71,JNOSP,Славнефть-ЯНОС (ПАО) ап
72,KAZT,Куйбышевазот ПАО ао
73,KAZTP,Куйбышевазот ПАО ап
74,KBSB,ТНС энерго Кубань ПАО ао
75,KCHE,Камчатскэнерго ПАО ао
76,KCHEP,Камчатскэнерго ПАО ап
77,KGKC,Курганская генер.комп.ПАО ао
78,KGKCP,Курганская генер. комп. ПАО ап
79,KLSB,"ао""Калужская сбыт.комп.""ПАО"
80,KMAZ,КАМАЗ ПАО
81,KMEZ,Ковровский механический завод
82,KOGK,Коршуновский ГОК ПАО ао
83,KRKN,Саратовский НПЗ ПАО ао
84,KRKNP,Саратовский НПЗ ПАО ап
85,KRKOP,ТКЗ Красный котельщик ПАО ап
86,KROT,"""КрасныйОктябрь"" ПАО - ао"
87,KROTP,КрасныйОктябрь-1п
88,KRSB,Красноярскэнергосбыт ао
89,KRSBP,Красноярскэнергосбыт ап
90,KTSB,"""Костромск.сбыт.комп"" ПАО"
91,KTSBP,"""Костромск.сбыт.комп"" ПАО"
92,KUBE,"""Россети Кубань"" ПАО"
93,KUZB,"Банк ""Кузнецкий"" ПАО ао"
94,KZOS,"ПАО ""Органический синтез"" ао"
95,KZOSP,"ПАО ""Органический синтез"" ап"
96,LENT,Лента МКПАО ао
97,LKOH,НК ЛУКОЙЛ (ПАО) - ао
98,LNZL,"""Лензолото"" ПАО ао"
99,LNZLP,"""Лензолото"" ПАО ап"
100,LSNG,Россети Ленэнерго ПАО-ао
101,LSNGP,Россети Ленэнерго ПАО-ап
102,LSRG,Группа ЛСР ПАО ао
103,LVHK,Левенгук ПАО ао
104,MAGE,"""Магаданэнерго"" ПАО ао"
105,MAGEP,"""Магаданэнерго"" ПАО ап"
106,MAGN,"""Магнитогорск.мет.комб"" ПАО ао"
107,MDMG,ГДР MD Medical Group Inv. PLC
108,MFGS,"ао ""Славнефть-Мегионнефтегаз"""
109,MFGSP,ап Мегионнефтегаз
110,MGKL,МГКЛ ао
111,MGNT,"""Магнит"" ПАО ао"
112,MGNZ,Соликамский магн.завод(ОАО)ао
113,MGTS,"ПАО ""МГТС"" ао (5 в)"
114,MGTSP,"ПАО ""МГТС"" ап (4 в)"
115,MISB,ТНС энерго Марий Эл ПАО ао
116,MISBP,ТНС энерго Марий Эл ПАО ап
117,MOEX,ПАО Московская Биржа
118,MRKC,"ПАО ""Россети Центр"" ао"
119,MRKK,Россети Сев. Кавказ ао
120,MRKP,Россети Центр и Приволжье ао
121,MRKS,Россети Сибирь ао
122,MRKU,Россети Урал (ПАО) ао
123,MRKV,Россети Волга ао
124,MRKY,Россети Юг  (ПАО) ао
125,MRKZ,ПАО Россети Северо-Запад ао
126,MRSB,Мордовск.энергсбыт.комп.ПАО ао
127,MSNG,МосЭнерго акции обыкн.
128,MSRS,ПАО Россети Моск.рег. ао
129,MSTT,"ПАО ""МОСТОТРЕСТ"" ао"
130,MTLR,Мечел ПАО ао
131,MTLRP,Мечел ПАО ап
132,MTSS,Мобильные ТелеСистемы ПАО ао
133,MVID,"""М.видео"" ПАО ао"
134,NAUK,НПО Наука ао
135,NFAZ,НЕФАЗ ПАО ао
136,NKHP,НКХП ПАО ао
137,NKNC,"""Нижнекамскнефтехим"" ПАО ао"
138,NKNCP,"""Нижнекамскнефтехим"" ПАО ап"
139,NKSH,Нижнекамскшина ПАО ао
140,NLMK,"ПАО ""НЛМК"" ао"
141,NMTP,НМТП (ПАО) ао
142,NNSB,ТНС энерго Нижний Новг.ПАО ао
143,NNSBP,ТНС энерго Нижний Новг.ПАО ап
144,NSVZ,Наука-Связь ПАО ао
145,NVTK,"ПАО ""НОВАТЭК"" ао"
146,OGKB,ОГК-2 ПАО ао
147,OKEY,ГДР OKEY Group S.A. ORD SHS
148,OMZZP,"ап""Объединён.  маш. заводы"""
149,OZON,АДР Ozon Holdings PLC ORD SHS
150,PAZA,Павловский автобус ПАО ао
151,PHOR,ФосАгро ПАО ао
152,PIKK,ПИК СЗ (ПАО) ао
153,PLZL,Полюс ПАО ао
154,PMSB,"""Пермэнергосбыт"" ПАО ао"
155,PMSBP,"""Пермэнергосбыт"" ПАО ап"
156,POLY,Polymetal International plc
157,POSI,Группа Позитив ао
158,PRFN,ЧЗПСН-Профнастил (ПАО) ао
159,PRMB,"АКБ ""Приморье"" ао"
160,QIWI,QIWI PLC
161,RASP,ПАО Распадская ао
162,RBCM,ГК РБК ПАО ао
163,RDRB,РоссийскийДорож Банк ПАО ао
164,RENI,Ренессанс Страхование ао
165,RGSS,Росгосстрах СК ПАО ао
166,RKKE,РКК Энергия им.С.П.Королева ао
167,RNFT,РуссНефть НК ПАО ао
168,ROLO,"""Русолово"" ПАО ао"
169,ROSB,РОСБАНК ПАО ао
170,ROSN,ПАО НК Роснефть
171,ROST,РОСИНТЕР РЕСТОРАНТС (ПАО)
172,RTGZ,Газпром газорасп Р-н-Д ПАО ао
173,RTKM,Ростелеком (ПАО) ао.
174,RTKMP,Ростелеком (ПАО) ап.
175,RTSB,ТНС энерго Ростов. ПАО ао
176,RTSBP,ТНС энерго Ростов. ПАО ап
177,RUAL,РУСАЛ ОК МКПАО ао
178,RUSI,РУСС-ИНВЕСТ ИК ПАО ао
179,RZSB,"""Рязанская энергосб.комп"" ПАО"
180,SAGO,Самараэнерго (ПАО) - ао
181,SAGOP,Самараэнерго (ПАО) - ап
182,SARE,Саратовэнерго(ПАО)-ао
183,SAREP,Саратовэнерго(ПАО)-ап
184,SBER,Сбербанк России ПАО ао
185,SBERP,Сбербанк России ПАО ап
186,SELG,"ПАО ""Селигдар""  ао"
187,SFIN,ЭсЭфАй ПАО ао
188,SGZH,Сегежа ао
189,SIBN,Газпром нефть ПАО ао
190,SLEN,"ПАО ""Сахалинэнерго"" ао"
191,SMLT,ГК Самолет ао
192,SNGS,Сургутнефтегаз ПАО акции об.
193,SNGSP,Сургутнефтегаз ПАО ап
194,SOFL,Софтлайн ао
195,SPBE,СПБ Биржа ао
196,STSB,Ставрополэнергосбыт ПАО ао
197,STSBP,Ставрополэнергосбыт ПАО ап
198,SVAV,"ПАО ""СОЛЛЕРС"""
199,SVCB,Совкомбанк ао
200,SVET,Светофор Групп ао
201,TASB,"ао""Тамбов.энергсбыт.комп.""ПАО"
202,TASBP,"ап""Тамбов.энергсбыт.комп.""ПАО"
203,TATN,"ПАО ""Татнефть"" ао"
204,TATNP,"ПАО ""Татнефть"" ап 3 вып."
205,TCSG,ГДР TCS Group Holding ORD SHS
206,TGKA,"ао ПАО ""ТГК-1"""
207,TGKB,"ао ПАО ""ТГК-2"""
208,TGKBP,"ап ПАО ""ТГК-2"""
209,TGKN,"ао ПАО ""ТГК-14"""
210,TNSE,"ПАО ГК ""ТНС энерго"" ао"
211,TORS,"ао ""Томская распределит.комп."""
212,TORSP,"ап ""Томская распределит.комп."""
213,TRMK,ПАО ТМК
214,TRNFP,Транснефть ПАО акц.пр.
215,TTLK,"""Таттелеком"" ПАО ао"
216,TUZA,Туймаз. завод автобетоновозов
217,UGLD,ЮГК
218,UKUZ,Южный Кузбасс ПАО ао
219,UNAC,Об.авиастр.корп. ПАО ао
220,UNKL,Южно-Уральский никел. комб. ао
221,UPRO,Юнипро ПАО ао
222,URKZ,"ПАО ""Уральская кузница"" ао"
223,USBN,БАНК УРАЛСИБ ПАО ао
224,UTAR,"Авиакомпания ""ЮТэйр"" (ПАО) ао"
225,VEON-RX,VEON Ltd. ORD SHS
226,VGSB,"""Волгоград.энергосбыткомп"" ПАО"
227,VGSBP,"""Волгоград.энергосбыткомп"" ПАО"
228,VJGZ,ННК-Варьеганнефтегаз ПАО ао
229,VJGZP,ННК-Варьеганнефтегаз ПАО ап
230,VKCO,Международная компания ПАО ВК
231,VLHZ,Владимирский химич.з-д(ПАО) ао
232,VRSB,ТНС энерго Воронеж ПАО ао
233,VRSBP,ТНС энерго Воронеж ПАО ап
234,VSMO,Корп. ВСМПО-АВИСМА (ПАО) ао
235,VSYD,Выборгский Суд.Завод ПАО ао
236,VSYDP,Выборгский Суд.Завод ПАО ап
237,VTBR,ао ПАО Банк ВТБ
238,WTCM,"""Центр междун. торговли""ПАО ао"
239,WTCMP,"""Центр междун. торговли""ПАО ап"
240,WUSH,ВУШ Холдинг ао
241,YAKG,Якутская топл.-энерг. комп. ао
242,YKEN,"АК ""Якутскэнерго"" (ПАО) ао"
243,YKENP,"АК ""Якутскэнерго"" (ПАО) ап"
244,YNDX,PLLC Yandex N.V. class A shs
245,YRSB,ТНС энерго Ярославль ПАО ао
246,YRSBP,ТНС энерго Ярославль ПАО ап
247,ZILL,Завод им. И.А.Лихачева ПАО ао
248,ZVEZ,ЗВЕЗДА ПАО ао
